,Processor,MOS transistor count,Date ofintroduction,Designer,MOS process(nm),Area (mm2),"Transistor density, tr./mm2"
0,MP944 ,74442,1970,Garrett AiResearch,,,
1,Intel 4004 ,2250,1971,Intel,"10,000 nm",12 mm2,188
2,TMX 1795 ,3078,1971,Texas Instruments,,30.64 mm2,1005
3,Intel 8008 ,3500,1972,Intel,"10,000 nm",14 mm2,250
4,NEC μCOM-4 ,2500,1973,NEC,"7,500 nm",,
5,Toshiba TLCS-12 ,11000,1973,Toshiba,"6,000 nm",32 mm2,340
6,Intel 4040 ,3000,1974,Intel,"10,000 nm",12 mm2,250
7,Motorola 6800 ,4100,1974,Motorola,"6,000 nm",16 mm2,256
8,Intel 8080 ,6000,1974,Intel,"6,000 nm",20 mm2,300
9,TMS 1000 ,8000,1974,Texas Instruments,"8,000 nm",11 mm2,730
10,MOS Technology 6502 ,4528,1975,MOS Technology,"8,000 nm",21 mm2,216
11,Intersil IM6100 ,4000,1975,Intersil,,,
12,CDP 1801 ,5000,1975,RCA,,,
13,RCA 1802 ,5000,1976,RCA,"5,000 nm",27 mm2,185
14,Zilog Z80 ,8500,1976,Zilog,"4,000 nm",18 mm2,470
15,Intel 8085 ,6500,1976,Intel,"3,000 nm",20 mm2,325
16,TMS9900 ,8000,1976,Texas Instruments,,,
17,Bellmac-8 ,7000,1977,Bell Labs,"5,000 nm",,
18,Motorola 6809 ,9000,1978,Motorola,"5,000 nm",21 mm2,430
19,Intel 8086 ,29000,1978,Intel,"3,000 nm",33 mm2,880
20,Zilog Z8000 ,17500,1979,Zilog,,,
21,Intel 8088 ,29000,1979,Intel,"3,000 nm",33 mm2,880
22,Motorola 68000 ,68000,1979,Motorola,"3,500 nm",44 mm2,1550
23,Intel 8051 ,50000,1980,Intel,,,
24,WDC 65C02,11500,1981,WDC,"3,000 nm",6 mm2,1920
25,ROMP ,45000,1981,IBM,"2,000 nm",,
26,Intel 80186 ,55000,1982,Intel,"3,000 nm",60 mm2,920
27,Intel 80286 ,134000,1982,Intel,"1,500 nm",49 mm2,2730
28,WDC 65C816 ,22000,1983,WDC,"3,000 nm",9 mm2,2400
29,NEC V20,63000,1984,NEC,,,
30,Motorola 68020 ,190000,1984,Motorola,"2,000 nm",85 mm2,2200
31,Intel 80386 ,275000,1985,Intel,"1,500 nm",104 mm2,2640
32,ARM 1 ,25000,1985,Acorn,"3,000 nm",50 mm2,500
33,Novix NC4016 ,16000,1985,Harris Corporation,"3,000 nm",,
34,SPARC MB86900 ,110000,1986,Fujitsu,"1,200 nm",,
35,NEC V60 ,375000,1986,NEC,"1,500 nm",,
36,ARM 2 ,27000,1986,Acorn,"2,000 nm",30.25 mm2,890
37,Z80000 ,91000,1986,Zilog,,,
38,NEC V70 ,385000,1987,NEC,"1,500 nm",,
39,Hitachi Gmicro/200,730000,1987,Hitachi,"1,000 nm",,
40,Motorola 68030 ,273000,1987,Motorola,800 nm,102 mm2,2680
41,TI Explorer's 32-bit Lisp machine chip,553000,1987,Texas Instruments,"2,000 nm",,
42,DEC WRL MultiTitan,180000,1988,DEC WRL,"1,500 nm",61 mm2,2950
43,Intel i960 ,250000,1988,Intel,"1,500 nm",,
44,Intel i960CA ,600000,1989,Intel,800 nm,143 mm2,4200
45,Intel i860 ,1000000,1989,Intel,,,
46,Intel 80486 ,1180235,1989,Intel,1000 nm,173 mm2,6822
47,ARM 3 ,310000,1989,Acorn,"1,500 nm",87 mm2,3600
48,POWER1 ,6900000,1990,IBM,1000 nm,1283.61 mm2,5375
49,Motorola 68040 ,1200000,1990,Motorola,650 nm,152 mm2,7900
50,R4000 ,1350000,1991,MIPS,"1,000 nm",213 mm2,6340
51,ARM 6 ,35000,1991,ARM,800 nm,,
52,Hitachi SH-1 ,600000,1992,Hitachi,800 nm,10 mm2,60000
53,Intel i960CF ,900000,1992,Intel,,125 mm2,7200
54,DEC Alpha 21064 ,1680000,1992,DEC,750 nm,233.52 mm2,7190
55,Hitachi HARP-1 ,2800000,1993,Hitachi,500 nm,267 mm2,10500
56,Pentium ,3100000,1993,Intel,800 nm,294 mm2,10500
57,POWER2 ,23037000,1993,IBM,720 nm,1217.39 mm2,18923
